seed,k,classifier,negative_type,accuracy,precision,recall,f1,roc_auc,TP,TN,FP,FN
0,3,rf,auto,0.55375,0.5360134003350083,0.8,0.641925777331996,0.55375,320,123,277,80
1,3,rf,auto,0.55,0.5328947368421053,0.81,0.6428571428571429,0.55,324,116,284,76
2,3,rf,auto,0.5275,0.516566265060241,0.8575,0.6447368421052632,0.5275000000000001,343,79,321,57
3,3,rf,auto,0.5575,0.537828947368421,0.8175,0.6488095238095238,0.5575,327,119,281,73
4,3,rf,auto,0.56125,0.541038525963149,0.8075,0.6479438314944834,0.56125,323,126,274,77
5,3,rf,auto,0.55375,0.533751962323391,0.85,0.6557377049180327,0.55375,340,103,297,60
6,3,rf,auto,0.55125,0.53198127925117,0.8525,0.6551392891450528,0.55125,341,100,300,59
7,3,rf,auto,0.55625,0.5358851674641149,0.84,0.6543330087633885,0.5562499999999999,336,109,291,64
8,3,rf,auto,0.56875,0.5466893039049237,0.805,0.6511627906976745,0.5687500000000001,322,133,267,78
9,3,rf,auto,0.545,0.528125,0.845,0.65,0.5449999999999999,338,98,302,62
0,3,rf,random,0.78125,0.7750611246943765,0.7925,0.7836835599505563,0.78125,317,308,92,83
1,3,rf,random,0.765,0.765,0.765,0.765,0.765,306,306,94,94
2,3,rf,random,0.7425,0.7342995169082126,0.76,0.7469287469287469,0.7425,304,290,110,96
3,3,rf,random,0.77125,0.7639902676399026,0.785,0.7743526510480888,0.7712500000000001,314,303,97,86
4,3,rf,random,0.765,0.7585365853658537,0.7775,0.7679012345679013,0.7649999999999999,311,301,99,89
5,3,rf,random,0.76875,0.7628361858190709,0.78,0.7713226205191595,0.76875,312,303,97,88
6,3,rf,random,0.76,0.751207729468599,0.7775,0.7641277641277642,0.7599999999999999,311,297,103,89
7,3,rf,random,0.765,0.7548076923076923,0.785,0.7696078431372549,0.765,314,298,102,86
8,3,rf,random,0.7675,0.7609756097560976,0.78,0.7703703703703704,0.7675000000000001,312,302,98,88
9,3,rf,random,0.75625,0.7481840193704601,0.7725,0.7601476014760148,0.75625,309,296,104,91
0,3,xgb,auto,0.5825,0.5673469387755102,0.695,0.6247191011235955,0.5824999999999999,278,188,212,122
1,3,xgb,auto,0.57,0.5576131687242798,0.6775,0.6117381489841986,0.5700000000000001,271,185,215,129
2,3,xgb,auto,0.565,0.555793991416309,0.6475,0.5981524249422633,0.565,259,193,207,141
3,3,xgb,auto,0.57375,0.5537340619307832,0.76,0.6406743940990516,0.57375,304,155,245,96
4,3,xgb,auto,0.5525,0.5433884297520661,0.6575,0.5950226244343891,0.5525,263,179,221,137
5,3,xgb,auto,0.58125,0.5690021231422505,0.67,0.6153846153846154,0.58125,268,197,203,132
6,3,xgb,auto,0.55875,0.5498938428874734,0.6475,0.5947187141216992,0.55875,259,188,212,141
7,3,xgb,auto,0.57125,0.5602536997885835,0.6625,0.6071019473081328,0.57125,265,192,208,135
8,3,xgb,auto,0.58875,0.5728952772073922,0.6975,0.629086809470124,0.58875,279,192,208,121
9,3,xgb,auto,0.53875,0.5271453590192644,0.7525,0.619979402677652,0.53875,301,130,270,99
